언론사명,순위,기사제목,기사링크,수집일자
프레시안,5위,"홈플러스 임시영업 재개…마트노조 ""시민들 '장보기'로 10만 일자리 지키자""",https://n.news.naver.com/article/002/0002451353?ntype=RANKING,2026-08-07 15:09:55.427313+09:00
아시아경제,1위,"""SK에 이런 효자가 있었네""…하이닉스만 보다가 놓친 2분기 깜짝 실적 1위",https://n.news.naver.com/article/277/0005800178?ntype=RANKING,2026-08-07 15:09:55.428316+09:00
아시아경제,2위,"""경력 다 떼고 신입 지원하라네요""…SK하이닉스 이직길 막힌 삼성맨들 '부글부글'",https://n.news.naver.com/article/277/0005800217?ntype=RANKING,2026-08-07 15:09:55.429166+09:00
아시아경제,3위,"""냉면 나오면 꼭 챙겨 먹었는데""…'배탈' 환자 28% 급증, 이유 뭐길래",https://n.news.naver.com/article/277/0005800195?ntype=RANKING,2026-08-07 15:09:55.430420+09:00
아시아경제,4위,"""한국이면 누가 처벌받을지 아찔""…응급실 난동 취객, 간호사가 30초 만에 제압",https://n.news.naver.com/article/277/0005800246?ntype=RANKING,2026-08-07 15:09:55.431351+09:00
아시아경제,5위,"""한국 오면 무조건 쓸어담는다""…3000원짜리 뭐길래, 외국인 꼭 쟁여 간다는 가방",https://n.news.naver.com/article/277/0005800256?ntype=RANKING,2026-08-07 15:09:55.432294+09:00
세계일보,1위,“밥 먹고 바로 앉지 마세요”…25분 뒤 ‘딱 3분’ 계단 탔더니 혈당 ‘18.4㎎/dL’ 덜 올랐다,https://n.news.naver.com/article/022/0004149078?ntype=RANKING,2026-08-07 15:09:55.433330+09:00
세계일보,2위,“또 4.6% 폭락했는데 지금 사라고?”…월가는 “코스피 1만2000 간다” [숫자 뒤의 진실],https://n.news.naver.com/article/022/0004149077?ntype=RANKING,2026-08-07 15:09:55.434219+09:00
세계일보,3위,[속보] 李 대통령 “국가 폭력 피해자들에게 위로… 국가 책임에 유효기간 없다”,https://n.news.naver.com/article/022/0004149199?ntype=RANKING,2026-08-07 15:09:55.435087+09:00
세계일보,4위,입추에도 39도 ‘극한 폭염’… 주말부터 고기압 물러나며 다소 완화 [날씨],https://n.news.naver.com/article/022/0004149165?ntype=RANKING,2026-08-07 15:09:55.435964+09:00
세계일보,5위,'성 접대 받은 심판 맡은 7경기 무패'… 대한축구협회 '매수 추문' 일파만파,https://n.news.naver.com/article/022/0004149176?ntype=RANKING,2026-08-07 15:09:55.436821+09:00
